id,model,user_id,currency,amount,date,type,is_debit,description,__typename
df752600-b5e7-4166-a0e6-4a21dd247218,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,15000,2024-02-22 06:04:58.946000+00:00,CARD_REFUND,,,transactions_view
c45cf537-0880-4071-be9d-d18ce455ffc4,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,20000,2024-02-22 06:04:58.851000+00:00,CARD_REFUND,,,transactions_view
0b9a2fdd-190e-4a71-ad13-80cb70e0a8fb,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,9500,2024-02-22 06:04:58.789000+00:00,CARD_REFUND,,,transactions_view
2193092e-a067-4bde-919b-4dfec83fd44b,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,26700,2024-02-22 06:04:58.738000+00:00,CARD_REFUND,,,transactions_view
c5259aec-8f41-4fa4-a942-d31fdea4aeb7,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,45921,2024-02-22 06:04:58.684000+00:00,CARD_REFUND,,,transactions_view
6b32c829-8938-43c8-bea9-f9f34ebb7278,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,9550,2024-02-22 06:04:58.590000+00:00,CARD_REFUND,,,transactions_view
cc44dbe8-47e7-4100-9da2-04fa7bce59ae,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1500,2024-02-21 07:20:38.598000+00:00,CARD_SETTLEMENT,,CRV*ZILCH * AIRTIME R,transactions_view
59d2aeaa-9a12-4813-af2f-a6088bbcb469,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,1735,2024-02-21 07:17:17.159454+00:00,DEPOSIT_FUNDS_RECEIVED,,,transactions_view
81deace1-ea52-47af-bc03-8652c1d0e6f0,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-750,2024-02-19 10:55:28.844000+00:00,PLUTUS_WALLET_WITHDRAW_FEE,,,transactions_view
bb2503b8-ccab-436f-b491-3a1db65d31e7,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,200,2024-02-19 10:55:01.518543+00:00,DEPOSIT_FUNDS_RECEIVED,,,transactions_view
eb6b24b8-9556-4dc4-b3b1-e27748c540c3,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-1094,2024-02-17 20:42:16.838000+00:00,CARD_SETTLEMENT,,CRV*Nike GBP\Unit 9.0.3/4,transactions_view
9e11bc47-5010-4071-ad74-f17b1235efe1,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-227772,2024-02-17 17:50:06.536000+00:00,CARD_SETTLEMENT,,CRV*Riu Hotels and Res,transactions_view
4ffca828-e331-41e0-8907-9f34e5e25197,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,20000,2024-02-17 16:47:12.446162+00:00,DEPOSIT_FUNDS_RECEIVED,,,transactions_view
0923af06-2160-4d67-af85-7155ad081a79,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,10000,2024-02-17 16:43:08.665128+00:00,DEPOSIT_FUNDS_RECEIVED,,,transactions_view
f54070a0-0614-4c87-b8f7-d9a7c691cba1,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-20000,2024-02-17 14:28:08.384000+00:00,CARD_SETTLEMENT,,CRV*OFFICE,transactions_view
8d56c862-7579-4886-825f-eefcc6a72df7,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,-849,2024-02-17 09:30:23.978000+00:00,CARD_SETTLEMENT,,CRV*HOME BARGAINS STEV,transactions_view
19d8cc8f-11cc-44de-839b-ede4bf77553b,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,34000,2024-02-17 05:38:44.893000+00:00,CARD_REFUND,,,transactions_view
552855a7-7cd0-4276-a68b-a8d23e1d6524,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,1735,2024-02-17 05:38:44.778000+00:00,CARD_REFUND,,,transactions_view
d26b6af5-52b2-4714-afd0-741f9e3bee5d,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,3143,2024-02-17 05:38:44.662000+00:00,CARD_REFUND,,,transactions_view
552d082d-cdf6-480f-95d0-f001fe753b88,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,7000,2024-02-17 05:38:44.585000+00:00,CARD_REFUND,,,transactions_view
5f4e1de1-8e37-42a4-8a65-e536aae6f4f5,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,1735,2024-02-17 05:38:44.477000+00:00,CARD_REFUND,,,transactions_view
be0dd6a0-4e1a-44b9-9156-c8ae65ac96f1,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,10000,2024-02-17 05:38:44.389000+00:00,CARD_REFUND,,,transactions_view
730792be-9b94-4a53-9261-f82fcafebf5c,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,34000,2024-02-17 05:38:44.267000+00:00,CARD_REFUND,,,transactions_view
c5428f6f-5bbb-4e33-ac2d-f221b15e8b36,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,11500,2024-02-17 05:38:44.184000+00:00,CARD_REFUND,,,transactions_view
22610f5a-b800-4bc9-8842-9ac64970283b,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,18000,2024-02-17 05:38:44.082000+00:00,CARD_REFUND,,,transactions_view
849e6cf3-0ac7-4ff7-9f09-de3f17a1a2ea,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,20000,2024-02-17 05:38:44.010000+00:00,CARD_REFUND,,,transactions_view
26d497dd-d9bd-4fd1-876d-4221e7c71d0f,FiatTransaction,ef2343ae-18f5-4dd5-894c-d9ac7705b2ca,GBP,11100,2024-02-17 05:38:43.889000+00:00,CARD_REFUND,,,transactions_view
